Day,Meal,Meal Type,Dish,Ingredients list,Cooking Notes,,,,,,,,,,,,,,
,,,,,,Quantity / Amount,COOLERS,,DRY BOXES,,,,,condiments & supplies,pre-cooked?,what state to buy in? (AZ/CA),store,purchased,Buying Notes
,,,,,,,Frozen,Cold,veg,fruit,cans/ dry,bread,other,,,,,,
,,,,,,,,,,,,,,,,,,,
0,2L,PB&J Lunch,,peanut butter,,32 oz,,,,,x,,,,,,,,
0,2L,PB&J Lunch,,almond butter,,16 oz,,,,,x,,,,,,,,
0,2L,PB&J Lunch,,jam,,32 oz,,,,,,,,,,,,,
0,2L,PB&J Lunch,,bananas,,8,,x,,,,,,,,,,,
0,2L,PB&J Lunch,,sliced breads,,~60 slices,,,,,,x,,,,AZ,TJ's ?,,"variety: nutty, whole wheat, buttermilk, sourdough...etc"
0,2L,PB&J Lunch,,honey,,16 oz,,,,,,,,x,,,,,
0,2L,PB&J Lunch,,nutella,,1/4 of one large (53 oz) jar,,,,,x,,,,,,,,
0,2L,PB&J Lunch,,oranges,,6,,,x,,,,,,,AZ,,,
0,2L,PB&J Lunch,,apples,,6,,,x,,,,,,,AZ,,,
0,2L,PB&J Lunch,,tortilla chips,,2 bags,,,,,,,x,,,AZ,,,
0,2L,PB&J Lunch,,yummy salsa,,2 jars,,,,,x,,,,,CA,TJ's/whofo,,
0,2L,PB&J Lunch,,pickles,,1/2 jar,,x,,,,,,,,CA,,,
0,2L,PB&J Lunch,,box of cookies,,1,,,,,,,x,,,AZ,TJ's,,
,,,,,,,,,,,,,,,,,,,
0,3D,,Empress Noodles,frozen udon noodles (from ranch 99),,11 packages,x,,,,,,,,,CA,Ranch 99,,
0,3D,,Empress Noodles,summer squash/zucchini,,3 large OR 4 small,,x,,,,,,,,AZ,,,
0,3D,,Empress Noodles,red onion ,,3,,x,,,,,,,,CA,costco/TJ's,,
0,3D,,Empress Noodles,green beans,,large handful,,x,,,,,,,,AZ,,,
0,3D,,Empress Noodles,chili flakes,,small amount,,,,,,,,x,,CA,box,,
0,3D,,Empress Noodles,green onion,,3 stalks,,x,,,,,,,,AZ,,,
0,3D,,Empress Noodles,shitake mushrooms,,~3 cups,,x,,,,,,,,AZ,,,
0,3D,,Empress Noodles,empress sauce,,5-6 cups,,x,,,,,,,x,CA,make at box,,
0,3D,,Empress Noodles,broccoli,,1 head,,x,,,,,,,,AZ,,,
0,3D,,Empress Noodles,red bell pepper,,2,,x,,,,,,,,AZ,,,
0,3D,,Dessert,tj cookies,,1 box,,,,,x,,,,,CA,TJ's,,
0,3D,,Egg Salad (Day 1 Lunch),"eggs (whole eggs, not boxed) ",,2 dozen,,x,,,,,,,,AZ,TJ's,,hard boil on night 0 and make into egg salad for day 1's lunch
0,3D,,Egg Salad (Day 1 Lunch),mayonnaise ,,1 jar (~15 oz?),,x,,,,,,,,CA,TJ's,,
0,3D,,Egg Salad (Day 1 Lunch),celery ,,4 sticks,,x,,,,,,,,AZ,,,
0,3D,,Egg Salad (Day 1 Lunch),dijon mustard,,tablespoon,,x,,,,,,x,,CA,TJ's,,
0,3D,,Egg Salad (Day 1 Lunch),salt ,,to taste,,,,,,,,x,,CA,box,,
0,3D,,Egg Salad (Day 1 Lunch),ground pepper ,,to taste,,,,,,,,x,,CA,TJ's,,"buy a little disposable pepper grinder, perhaps"
0,3D,,Egg Salad (Day 1 Lunch),paprika,,to taste,,,,,,,,x,,CA,box,,
0,3D,,Egg Salad (Day 1 Lunch),firm tofu,,4 packages,,x,,,,,,,,AZ,,,
,,,,,,,,,,,,,,,,,,,
1,1B,Fast: Bagels,,bagels,,18,,,,,,x,,,,,,,
1,1B,Fast: Bagels,,whole wheat english muffins,,12,,,,,,x,,,,,,,
1,1B,Fast: Bagels,,peanut butter,,12 oz ,,,,,,,,x,,CA,costco,,
1,1B,Fast: Bagels,,nutella,,12 oz,,,,,,,,x,,CA,,,
1,1B,Fast: Bagels,,honey,,5 oz,,,,,,,,x,,CA,costco,,
1,1B,Fast: Bagels,,cream cheese,,500g,,x,,,,,,,,,,,
1,1B,Fast: Bagels,,jam,,8 oz,,,,,,,,x,,CA,,,
1,1B,Fast: Bagels,,vanilla sweetened soy milk,,1 qt,,,,,x,,,,,CA,costco,,
1,1B,Fast: Bagels,,"milk, dried  ",,1 qt dry,,,,,,,,x,,CA,,,
1,1B,Fast: Bagels,,nuts almonds,,1/2  lb,,,,,,,x,,,CA,costco,,
1,1B,Fast: Bagels,,bananas,,12,,,,x,,,,,,AZ,,,
1,1B,Fast: Bagels,,coffee,,1/4 lb,,,,,x,,,,,CA,costco,,
1,1B,Fast: Bagels,,decaf coffee bag,,2 bags,,,,,x,,,,,CA,,,
1,1B,Fast: Bagels,,caffeinated tea,,4 bags,,,,,x,,,,,CA,,,
1,1B,Fast: Bagels,,herbal tea,,6 bags,,,,,x,,,,,CA,,,
1,1B,Fast: Bagels,,white sugar,,1/2 cup,,,,,,,,x,,CA,,,
,,,,,,,,,,,,,,,,,,,
1,2L,Deli Bar,,egg salad (made the night before),,2 dozen eggs worth,,x,,,,,,,cooked on night 0,,,,cooked on night 0 for day 1's lunch
1,2L,Deli Bar,,"variety of sliced breads (nutty, whole wheat, buttermilk, sourdough...etc)",,~40 slices,,,,,,x,,,,AZ,TJ's?,,
1,2L,Deli Bar,,tortillas,,16,,,,,,x,,,,AZ,,,
1,2L,Deli Bar,,red onion,,1 large,,,x,,,,,,,AZ,,,
1,2L,Deli Bar,,dill or sweet pickles ,,1/2 large jar,,x,,,,,,,,CA,,,
1,2L,Deli Bar,,pepperonchinis,,1 jar,,x,,,,,,,,CA,TJ's?,,
1,2L,Deli Bar,,fancy mustard,,1/2 jar,,x,,,,,,,,CA,,,
1,2L,Deli Bar,,tomatoes,,5 large,,x,,,,,,,,AZ,,,
1,2L,Deli Bar,,cheese (assortment),,16 oz,,x,,,,,,,,AZ,TJ's,,
1,2L,Deli Bar,,romaine lettuce,,1/2 head,,x,,,,,,,,AZ,,,
1,2L,Deli Bar,,mayonnaise,,1/5 jar,,x,,,,,,,,CA,TJ's,,
1,2L,Deli Bar,,peanut butter,,16 oz,,,,,x,,,,,CA,TJ's,,
1,2L,Deli Bar,,jam,,16 oz,,x,,,,,,,we could bring some home-made jam!,CA,,,
1,2L,Deli Bar,,oranges,,5,,,x,,,,,,,AZ,,,
1,2L,Deli Bar,,apples,,4,,,x,,,,,,,AZ,,,
1,2L,Deli Bar,,tortilla chips,,2 bags,,,,,,,x,,,AZ,TJ's,,
1,2L,Deli Bar,,yummy salsa,,2 jars,,,,,x,,,,,CA,TJ's/whofo,,
1,2L,Deli Bar,,tapatio,,endless :),,,,,,,,x,,CA,box?,,
1,2L,Deli Bar,,avocado,,5,,x,,,,,,,,AZ,,,
,,,,,,,,,,,,,,,,,,,
1,3D,,Burritos,black beans,soak during day in pressure cooker,6 cups dry,,,,,x,,,,,CA,,,
1,3D,,Burritos,onion,,3,,,x,,,,,,,CA,costco,,
1,3D,,Burritos,cumin * chili powder * garlic * salt ,,cond,,,,,,,,x,,CA,,,
1,3D,,Burritos,garlic cloves            ,,5,,,x,,,,,,,AZ,,,
1,3D,,Burritos,flour tortillas,,24,,,,,,x,,,,,,,
1,3D,,Burritos,tapatio,,cond,,,,,,,,x,,CA,,,
1,3D,,Burritos,white rice,,4 cups,,,,,x,,,,,CA,,,
1,3D,,Burritos,diced tomatoes,,3 cans,,,,,x,,,,,CA,,,
1,3D,,Burritos,canned green chilies and tomatoes,,2 small cans / 1 large can,,,,,x,,,,,CA,,,
1,3D,,Burritos,zucchini,,5 large / 6small,,x,,,,,,,,AZ,,,
1,3D,,Burritos,corn,,2 cans,,,,,x,,,,,CA,,,
1,3D,,Burritos,red bell pepper,,2,,x,,,,,,,,CA,,,
1,3D,,Burritos,cilantro,,1 bunch,,x,,,,,,,,AZ,,,
1,3D,,Burritos,tomatoes,,5,,,,x,,,,,,AZ,,,
1,3D,,Burritos,limes,,5,,,,x,,,,,,AZ,,,
1,3D,,Burritos,jalapenos,,2,,,x,,,,,,,AZ,,,
1,3D,,Burritos,peper jack cheese,,10 oz,,x,,,,,,,,,,,
1,3D,,Burritos,ground turkey (sustainably raised),,3 lbs,x,,,,,,,,,CA,whofo,,buy in california and freeze!!!!
1,3D,,Burritos,yogurt,,1/2 a container,,x,,,,,,,,AZ,,,
1,3D,,Burritos,mole concentrate,,1/2 jar,,,,,x,,,,,CA,baja ranch,x,ana's bringing
1,3D,,Pudding,bananas,,6,,,,x,,,,,,AZ,,,
1,3D,,Pudding,small tapioca pearls,,2 cups,,,,,x,,,,,CA,,,
1,3D,,Pudding,white sugar,,2 cups,,,,,,,,x,,CA,,,
1,3D,,Pudding,coconut milk,,3 cans,,,,,x,,,,,CA,,,
1,3D,,Pudding,shredded coconut,,2 cups,,,,,x,,,,,CA,,,
,,,,,,,,,,,,,,,,,,,
2,1B,Fast: Cereal,,banana bread,,2 Loaves,,,,,,x,,,x,CA,,,
2,1B,Fast: Cereal,,margarine,,4 oz,,x,,,,,,,,CA,costco,,
2,1B,Fast: Cereal,,peanut butter,,8 oz,,,,,,,,x,,CA,costco,,
2,1B,Fast: Cereal,,cereal,,15 cups,,,,,x,,,,,CA,costco,,
2,1B,Fast: Cereal,,granola,,5 cups,,,,,x,,,,x,CA,,,
2,1B,Fast: Cereal,,milk dried ,,2 qt dry,,,,,,,,x,,CA,,,
2,1B,Fast: Cereal,,sweetend vanilla almond milk,,1 qt,,,,,x,,,,,CA,costco,,
2,1B,Fast: Cereal,,plain rice milk,,1 qt,,,,,x,,,,,CA,,,
2,1B,Fast: Cereal,,"yogurt (whole or low fat, not nonfat)",,16 oz,,x,,,,,,,,AZ,,,
2,1B,Fast: Cereal,,craisins,,8 oz,,,,,x,,,,,CA,costco,,
2,1B,Fast: Cereal,,honeydew melon,,1 large/2small,,,,x,,,,,,AZ,,,
2,1B,Fast: Cereal,,coffee,,1/4 lb,,,,,x,,,,,CA,costco,,
2,1B,Fast: Cereal,,decaf coffee bag,,2 bags,,,,,x,,,,,CA,,,
2,1B,Fast: Cereal,,caffeinated tea,,4 bags,,,,,x,,,,,CA,,,
2,1B,Fast: Cereal,,herbal tea,,6 bags,,,,,x,,,,,CA,,,
2,1B,Fast: Cereal,,white sugar,,1/2 cup,,,,,,,,x,,CA,,,
,,,,,,,,,,,,,,,,,,,
2,2L,Deli Bar,,sliced breads,,40 slices,,,,,,x,,,,AZ,TJ's ?,,"variety: nutty, whole wheat, buttermilk, sourdough...etc"
2,2L,Deli Bar,,red onion,,1 large,,,x,,,,,,,AZ,,,
2,2L,Deli Bar,,dill or sweet pickles ,,1/2 large jar,,x,,,,,,,,CA,,,
2,2L,Deli Bar,,fancy mustard,,1/2 jar,,x,,,,,,,,CA,,,
2,2L,Deli Bar,,tomatoes,,4 large,,x,,,,,,,,AZ,,,
2,2L,Deli Bar,,cheese (assortment),,16 oz,,x,,,,,,,,AZ,TJ's,,
2,2L,Deli Bar,,romaine lettuce,,1/2 head,,x,,,,,,,,AZ,,,
2,2L,Deli Bar,,mayonaise,,1/5 jar,,x,,,,,,,,CA,TJ's,,
2,2L,Deli Bar,,peanut butter,,16 oz,,,,,x,,,,,CA,TJ's,,
2,2L,Deli Bar,,tortillas,,12,,,,,,x,,,,AZ,,,
2,2L,Deli Bar,,jam,,16 oz,,x,,,,,,,we could bring some home-made jam!,CA,,,
2,2L,Deli Bar,,oranges,,4,,,x,,,,,,,AZ,,,
2,2L,Deli Bar,,apples,,4,,,x,,,,,,,AZ,,,
2,2L,Deli Bar,,salt and vinegar potato chips (or something else delicious),,1 bag,,,,,,,x,,,AZ,TJ's/whofo,,
2,2L,Deli Bar,,terra sweet potato/root veggie chips,,1 bag,,,,,,,x,,,AZ,TJ's/whofo,,
2,2L,Deli Bar,,tapatio,,endless :),,,,,,,,x,,CA,box?,,
2,2L,Deli Bar,,avocado,,5,,x,,,,,,,,AZ,,,
2,2L,Deli Bar,,hummus,,1 large tub,,x,,,,,,,,AZ,TJ's,,
2,2L,Deli Bar,,cucumber,,1,,x,,,,,,,,,,,
2,2L,Deli Bar,,"sliced turkey lunchmeat (sustainably raised, if possible, please)",,2 packages,,x,,,,,,,,AZ,,,"Let's try to buy sustainably raised meat, please."
2,2L,Deli Bar,,"marinated, baked tofu ",,3 packages),,x,,,,,,,,AZ,TJ's/whofo,,(e.g. wildwood)
,,,,,,,,,,,,,,,,,,,
2,3D,,Pasta w/ Pesto,pasta,,5 lbs.,,,,,x,,,,,AZ,,,
2,3D,,Pasta w/ Pesto,fresh mozarella,,3 lbs.,,x,,,,,,,,CA,costco,,
2,3D,,Pasta w/ Pesto,cherry tomatoes,,4 pints,,x,,,,,,,,AZ,,,
2,3D,,Pasta w/ Pesto,pesto sauce,,24 oz.,x,,,,,,,,x,,,,
2,3D,,Veggie Saute,summer squash,,10 patty pans,,x,,,,,,,,AZ,,,
2,3D,,Veggie Saute,onion,,3 onion,,,,x,,,,,,CA,,,
2,3D,,Veggie Saute,oil,,,,,,,,,,,,,,,
2,3D,,Ceasar Salad,romaine lettuce,,4 heads,,x,,,,,,,,AZ,,,
2,3D,,Ceasar Salad,garlic croutons ,,32 oz. bag,,,,,x,,,,,CA,,,
2,3D,,Ceasar Salad,parmesan,,10 oz.,,x,,,,,,,,CA,,,
2,3D,,Ceasar Salad,cucumbers,,4,,,,,,,,,,AZ,,,
2,3D,,Ceasar Salad,ceasar salad dressing,,1 bottle (12 oz?),,,,,,,,x,,CA,,,
,,,,,,,,,,,,,,,,,,,
3,1B,Fast: Oatmeal,,oatmeal,,6 cups,,,,,x,,,,,CA,costco,,
3,1B,Fast: Oatmeal,,granola,,6 cups,,,,,x,,,,x,CA,,,
3,1B,Fast: Oatmeal,,cream of wheat,,2 cups,,,,,x,,,,,CA,,,
3,1B,Fast: Oatmeal,,vanilla unsweetend almond milk,,1 qt,,,,,x,,,,,CA,costco,,
3,1B,Fast: Oatmeal,,yogurt,,1 32 oz tub,,x,,,,,,,,AZ?,,,
3,1B,Fast: Oatmeal,,"milk, dried  ",,2 qts dry,,,,,,,,x,,CA,,,
3,1B,Fast: Oatmeal,,peanut butter,,10 oz,,,,,,,,x,,CA,costco,,
3,1B,Fast: Oatmeal,,nutella,,10 oz,,,,,,,,x,,CA,,,
3,1B,Fast: Oatmeal,,honey,,5 oz,,,,,,,,x,,CA,costco,,
3,1B,Fast: Oatmeal,,english muffins- whole wheat,,12,,,,,,x,,,,AZ,,,
3,1B,Fast: Oatmeal,,craisins,,1/2  lb,,,,x,,,,,,CA,costco,,
3,1B,Fast: Oatmeal,,oranges,,12,,,,x,,,,,,AZ,,,
3,1B,Fast: Oatmeal,,coffee,,1/4 lb,,,,,x,,,,,CA,costco,,
3,1B,Fast: Oatmeal,,decaf coffee bag,,2 bags,,,,,x,,,,,CA,,,
3,1B,Fast: Oatmeal,,caffeinated tea,,4 bags,,,,,x,,,,,CA,,,
3,1B,Fast: Oatmeal,,herbal tea,,6 bags,,,,,x,,,,,CA,,,
3,1B,Fast: Oatmeal,,brown sugar,,2 cups,,,,,,,,x,,CA,,,
3,1B,Fast: Oatmeal,,"cinnamon, nutmeg",,3 tablespoons,,,,,,,,x,,CA,,,
3,1B,Fast: Oatmeal,,white sugar,,1/2 cup,,,,,,,,x,,CA,,,
,,,,,,,,,,,,,,,,,,,
3,2L,PB&J,,peanut butter,,32 oz,,,,,x,,,,,,,,
3,2L,PB&J,,almond butter,,16 oz,,,,,x,,,,,,,,
3,2L,PB&J,,jam,,16 oz ,,,,,,,,,,,,,"I'm only putting 16 oz here (instead of 32 oz), because I think we'll have left over from previous days."
3,2L,PB&J,,bananas,,8,,x,,,,,,,,,,,
3,2L,PB&J,,sliced breads,,40 slices,,,,,,x,,,,,,,
3,2L,PB&J,,tortillas,,12,,,,,,x,,,,AZ,TJ's ?,,
3,2L,PB&J,,honey,,16 oz,,,,,,,,x,,,,,
3,2L,PB&J,,nutella,,13 oz,,,,,x,,,,,,,,
3,2L,PB&J,,oranges,,5,,,x,,,,,,,AZ,,,
3,2L,PB&J,,apples,,4,,,x,,,,,,,AZ,,,
3,2L,PB&J,,chips,,2,,,,,,,x,,,AZ,,,variety
,,,,,,,,,,,,,,,,,,,
3,3D,,Black Bean Soup,onion,,2,,,x,,,,,,,CA,costco,,
3,3D,,Black Bean Soup,garlic,,6 cloves,,,x,,,,,,,CA,,,
